Rho110_calibration_10-15-21_1_T0s_1.ptu	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0258988604501402	0.349909440347102	0.00787078083428628	0.0258988604501402	0.622681668392201	0.00484318222950289	0.0258988604501402	0.272592911577802	0.0155346834625395	0.0258988604501402	0.344392190817706	0.00728580413152661	0.0258988604501402	0.629624146699041	0.00355045315604104	0.0258988604501402	0.310294240948424	0.0168048491353584	0.0258989640414383	0.34207233842496	0.00794090352998908	0.0258989640414383	0.619978076183292	0.00512774531960596	0.0258989640414383	0.288226819211742	0.0177444872104551
0.0274987900532377	0.31884784253152	0.00672325315936239	0.0274987900532377	0.611029491634265	0.00374458952644904	0.0274987900532377	0.28201357285714	0.020631665229686	0.0274987900532377	0.346507903020914	0.00465802020241864	0.0274987900532377	0.61318931593837	0.00385649436106693	0.0274987900532377	0.344346421638288	0.0171803310019505	0.0274989000439982	0.335998339748931	0.00749703991307475	0.0274989000439982	0.614805590492166	0.00275023500788103	0.0274989000439982	0.316805066313181	0.0141142979680096
0.0290987196563351	0.325242097621872	0.00483792755756319	0.0290987196563351	0.59003807964212	0.00466034036519622	0.0290987196563351	0.266322191862903	0.0161060606587051	0.0290987196563351	0.333391816427915	0.00621816307958585	0.0290987196563351	0.594972266255189	0.00381531728943921	0.0290987196563351	0.291887339373347	0.0178836618386769	0.0290988360465581	0.324989049789814	0.00730989684481974	0.0290988360465581	0.602031491358547	0.00498699591019143	0.0290988360465581	0.307305394479716	0.016484555866582
0.0306986492594326	0.327289748025846	0.00545094631404945	0.0306986492594326	0.580819144561379	0.00434584782798181	0.0306986492594326	0.252541164799385	0.0173869079971697	0.0306986492594326	0.317424169577408	0.0071434178871173	0.0306986492594326	0.581656150328015	0.00475126515601769	0.0306986492594326	0.275050695583248	0.0218329471908858	0.030698772049118	0.316878688172713	0.00590300084537046	0.030698772049118	0.581450321866498	0.00502215942919907	0.030698772049118	0.299654606034168	0.028059717020155
0.0330985436640788	0.315583433679421	0.00497674017370975	0.0330985436640788	0.559460525429492	0.00438014203180737	0.0330985436640788	0.263762946418783	0.0128592710235597	0.0330985436640788	0.30878887375501	0.00566519510582618	0.0330985436640788	0.564429577515343	0.00314636812709173	0.0330985436640788	0.298472853243206	0.0124873438915121	0.0330986760529579	0.316938326034059	0.00451084921216643	0.0330986760529579	0.565811265628611	0.00371869634824887	0.0330986760529579	0.268836931846174	0.0125416466689355
0.0362984028702737	0.290163053507884	0.00311864580987662	0.0362984028702737	0.537664816232814	0.00235633916290512	0.0362984028702737	0.272252457622378	0.0125178816855556	0.0362984028702737	0.296882699213225	0.00512126056414155	0.0362984028702737	0.53823469439085	0.00280049293173035	0.0362984028702737	0.286391323816226	0.0162698202758407	0.0362985480580777	0.298300851253106	0.00381747774454891	0.0362985480580777	0.533529685955445	0.00333758951795344	0.0362985480580777	0.290280862424215	0.0167555307607214
0.0394982620764686	0.294156898336563	0.00407260565567245	0.0394982620764686	0.510301691664884	0.00355489646235312	0.0394982620764686	0.289271343828319	0.0143046538016711	0.0394982620764686	0.281414492396492	0.00569953301944848	0.0394982620764686	0.5119067776128	0.00295163864277763	0.0394982620764686	0.273056021556512	0.0158329528974254	0.0394984200631975	0.289583163615641	0.00314216583651595	0.0394984200631975	0.511692190610621	0.00413707165403439	0.0394984200631975	0.282132444601117	0.0106572886629793
0.0426981212826636	0.266653934335068	0.00459159408315486	0.0426981212826636	0.487150559062511	0.00275484346054822	0.0426981212826636	0.256699136062499	0.0135699785262771	0.0426981212826636	0.267208541957566	0.00371123842151432	0.0426981212826636	0.489238275975787	0.00318645317339937	0.0426981212826636	0.236370496016544	0.0136628520931917	0.0426982920683173	0.275071106337553	0.00381061692006282	0.0426982920683173	0.490404616802451	0.00379724121927857	0.0426982920683173	0.242215470698357	0.01020229908039
0.0458979804888585	0.262238086666756	0.00329354785138322	0.0458979804888585	0.466590793067532	0.00341739461599454	0.0458979804888585	0.253620499827564	0.0103833969325937	0.0458979804888585	0.259061358963922	0.00408032280976563	0.0458979804888585	0.472985039964507	0.00446794880671255	0.0458979804888585	0.257589135702904	0.0133464028189988	0.0458981640734371	0.266513174948782	0.0045498017980391	0.0458981640734371	0.465502486917429	0.00271455721141979	0.0458981640734371	0.26555132828745	0.0167129479357538
0.0490978396950534	0.260091288106154	0.00432393355888047	0.0490978396950534	0.455800329587643	0.00237577756088518	0.0490978396950534	0.211376900666785	0.0134276366731178	0.0490978396950534	0.25015825259931	0.00387016594825881	0.0490978396950534	0.455767628099927	0.00359995786973943	0.0490978396950534	0.241574596585099	0.0120437642766491	0.0490980360785569	0.24656599309429	0.00350815932743271	0.0490980360785569	0.454068558260459	0.00358477561934898	0.0490980360785569	0.224602946372003	0.0164134108527593
